SuccubusNo,SuccubusName,HeartLevel/Ending,Choice,ChoiceNext,DlgS,DlgJ,args
,,,,,我只是…… 我只是没什么要说的……,,
,,,,,即使我有……,,
,,,,,我…… 我的想法也不重要……,,
,,,,,,你为什么这样想？,
,,,,,有人告诉我……,,
,,,,,这样的话主人就…… 不会伤害我了……,,
,,,2-3-A,III-3,他伤害过你？,,
,,,,,,主人曾经伤害过你？,
,,,,,！,,
,,,,,没…… 没有……,,
,,,,,我…… 我们…… 我们之间也没有互动……,,
, ,,,,,这样的话…… 你其实没什么好怕的，不是吗？,
,,,,,,如果你留在这里的话他们会在意吗？,
,,,,,……我不知道。,,
,,,,,,那…… 那只是一个想法，你不用太认真。,
,,,,,嗯？好吧……,,
,,,,,,,
,,,,,,,
,,,2-3-B,III-1,其他魅魔也害怕主人吗？,,
,,,,,,其他魅魔也害怕主人吗？,
,,,,,我…… 我想是的……,,
,,,,,我…… 我不确定，但是……,,
,,,,,,但是？,
,,,,,呃…… 对不起……,,
,,,,,我…… 我不知道……,,
,,II-4,,,,,
,,,,,啊…… 卡住了……,,
,,,,,,怎么了？,
,,,,,这根…… 这根链子…… 它…… 它好像卡住了……,,
,,,,,,让我来帮你。,
,,,,,噢…… 你没有必要……,,
,,,,,,好了。,
,,,,,,……,
,,,,,好了吗？,,
,,,,,,是…… 是的，嗯，你为什么还戴着它？,
,,,,,,它不会妨碍你吗？这些枷锁，我是说……,
,,,,,我…… 我觉得…… 这样会安全一些。,,
,,,,,我戴着它的时候，会觉得有安全感,,
,,,2-4-A,II-5,独特的护身符。,,
,,,,,,这…… 我该怎么说呢……,
,,,,,,独特？,
,,,,,为…… 为什么这么说？,,
,,,,,,通常枷锁是用来…… 你知道的……,
,,,,,,限制人的行动？,
,,,,,,可是你被束缚住的时候怎么反而会觉得安全？,
,,,,,这个…… 不是用来束缚我们的。,,
,,,,,芭丝特魔女一直在保护我们……,,
,,,,,没有她们的话…… 我们是活不下去的……,,
,,,,,所以…… 她们给了我们这些枷锁……,,
,,,,,,,
,,,2-4-B,III-3,觉得安全？,,
,,,,,,你戴着它觉得安全？,
,,,,,是…… 是的。毕竟…… 这是她们给我们的……,,
,,,,,,恕我冒昧，她们是谁？,
,,,,,芭丝特一族……,,
,,,,,她们一直在教我们…… 如何生存下去。,,
,,,,,如果不是她们…… 主人他……,,
,,,,,他可能早就把我们都消灭了……,,
,,,,,,这么严重。,
,,,,,,……生活在这样的恐惧中，你不觉得累吗？,
,,,,,我……,,
,,II-5,,,,,
,,,,,……,,
,,,,,,有人吗？,
,,,,,哦…… 啊！我在这……,,
,,,,,,怎么了？你看起来有些疲惫。,
,,,,,,你今天想休息一下吗？,
,,,,,拜…… 拜托…… 请不用担心我……,,
,,,,,在这里…… 你是我的主人……,,
,,,,,所以…… 你想怎么使唤我都可以。,,
,,,,,,……不要这样说。,
,,,,,我也不知道我该做什么……,,
,,,,,如果没人告诉我……,,
,,,2-5-A,III-2,芭丝特教你的？,,
,,,,,,芭丝特魔女没有告诉你要怎么做吗？,
,,,,,……,,
,,,,,……是的，她们…… 他们会保护我们……,,
,,,,,一直…… 一直以来都是这样。,,
,,,,,,你难道从一出生就跟随着她们吗？,
,,,,,嗯…… 否则的话…… 我们完全不知道该做什么。,,
,,,,,,你没有自己想做的事吗？,
,,,,,！,,
,,,,,我…… 我不敢……,,
,,,2-5-B,II-3,是主人的命令？,,
,,,,,,如果主人没有下命令给你呢？,
,,,,,如果是跟主人有关……,,
,,,,,我只是…… 不想麻烦他……,,
,,,,,,我想他不会介意的。,
,,,,,,我的意思是，你其实很有帮助。,
,,,,,我…… 又弱…… 又丑……,,
,,,,,我的存在…… 是对他的侮辱……,,
,,,,,,……,
,,III-1,,,,,
,,,,,杰…… 杰克……？,,
,,,,,,嗯？,
,,,,,很抱歉问你，但是…… 你有没有……,,
,,,,,缝纫的…… 工具？,,fontSize=Small1
,,,,,呃，对不起，还是算了吧……,,
,,,,,,你需要缝纫工具？,
,,,,,,我记得露娜有。我去找找。,
,,,,,,我不知道你喜欢缝纫。,
,,,,,不…… 这是…… 为了其他魅魔……,,
,,,,,她们…… 她们让我缝补她们的衣服。,,
,,,,,,……,
,,,,,,她们在霸凌你吗？,
,,,,,我…… 不是…… 我只是…… 做我份内的事…… 服侍他人……,,
,,,3-1-A,III-2,服侍他人？,,
,,,,,,哦？我以为魅魔只需要听从主人的话就够了？,
,,,,,是…… 是这样的……,,
,,,,,,？ 那你为什么……,
,,,,,……这只是…… 只是我们族人的天性。,,
,,,,,这是…… 她们告诉我的。,,
,,,,,,她们是谁？所有的魅魔？,
,,,,,是…… 是…… 芭丝特魔女。,,
,,,,,她们就像…… 就像我们的守护者……？,,
,,,,,,意思是她们会照顾你的同族吗？,
,,,,,差不多……,,
,,,,,,（为什么她听起来不太肯定？）,
,,,3-1-B,EB,让我来吧。,,
,,,,,,这样吧，让我来帮你做。,
,,,,,,你去休息一下。,
,,,,,呃…… 但…… 但是……,,
,,,,,,我想帮你。,
,,,,,呃…… 嗯…… 你没必要这么做的……,,
,,,,,,没关系的。,
,,,,,你…… 你们会怎么说……,,
,,,,,表…… 表达感谢的话……,,
,,,,,,……谢谢你？,
,,,,,哦…… 谢谢你，杰克。,,
,,,,,,不用谢。,
,,III-2,,,,,
,,,,,接下来我该做什么，杰克……？,,
,,,,,,嗯，抱歉，我还没想好。,
,,,,,,哎……,
,,,,,你看上去很疲惫……,,
,,,,,,抱歉…… 都是因为我。,
,,,,,我听说了…… 一些关于你…… 你妻子的事。,,
,,,,,她…… 她是，是你的守护者吗……？,,
,,,3-2-A,EA,不是那样的。,,
,,,,,,我觉得不太一样……,
,,,,,,但是，谢谢你的关心。,
,,,,,不…… 一样……？,,
,,,,,,我们彼此互相照顾……,
,,,,,,因为我们想让对方开心。,
,,,,,让…… 让某人开心……,,
,,,,,嗯……,,
,,,,,,怎么了？,
,,,,,我有种感觉…… 但我不确定……不确定这种感觉到底是什么。,,
,,,3-2-B,EB,别在意。,,
,,,,,,噢！对不起，是我让气氛变得低沉了。,
,,,,,不…… 不是的……,,
,,,,,如…… 如果有一天芭丝特魔女全都消失……,,
,,,,,我会…… 我想我会和你一样感到失落的……,,
,,,,,,如果真的有那么一天…… 你还有我可以依靠。,
,,,,,？,,
,,,,,,哈哈…… 我在说什么啊。,
,,,,,,请不要介意。,
,,,,,……,,
,,III-3,,,,,
,,,,,……,,
,,,,,,嗯？你看起来心情不错。,
,,,,,噢，没什么…… 抱歉……,,
,,,,,,没什么好抱歉的。,
,,,,,,是有什么好事吗？,
,,,,,不…… 不是什么重要的事……,,
,,,,,我只是…… 从M女士那里学到了一些东西。,,
,,,,,,哦？是什么呢？,
,,,,,烤…… 烤饼干……,,
,,,,,,你想再去那里学更多东西吗？,
,,,,,我…… 我可以吗……？,,
