SuccubusNo,SuccubusName,HeartLevel/Ending,Choice,ChoiceNext,DlgS,DlgJ,args
,,,,,,It's kind of painful seeing you holding on to anger like that...,
,,,,,...!,,
,,,,,Speak for yourself!,,
,,,,,You think I don't know what you're plotting right now?!,,
,,,,,,...,
,,,,,,(I... with Luna...),
,,,,,,,
,,,2-1-B,II-2,What about now?,,
,,,,,,What happened now that she's gone...?,
,,,,,"Gone- but I'm still here, aren't I!?",,
,,,,,It's only logical that we should always be the ruler's right hand.,,
,,,,,Yet the new ruler chose another kind of succubi.,,
,,,,,,"Well, I think I can understand why you're so bitter...",
,,,,,...,,
,,,,,,,
,,II-2,,,,,
,,,,,,How are you doing?,
,,,,,Don't act all nice with me.,,
,,,,,,I'm just worried...,
,,,,,Worried? About me?,,
,,,,,You should just be worried about yourself.,,
,,,,,"After all, there's nothing that I can't do.",,
,,,,,Even reclaiming my place as the ruler's right hand.,,
,,,2-2-A,III-3,Why are you so obsessed?,,
,,,,,,Why do you seem so obsessed with that?,
,,,,,... So what if I am?,,
,,,,,Being trusted by the only ruler...,,
,,,,,Other succubi would not dare ignore me.,,
,,,,,,They're ignoring you?,
,,,,,S- shut up...!,,
,,,,,,,
,,,2-2-B,III-1,I'm rooting for you.,,
,,,,,,"I also think you're worthy of that place, seeing how you yearn for it.",
,,,,,Yearn?,,
,,,,,"I also work for it, you know.",,
,,,,,,Ah... Yes.,
,,,,,If only they didn't exist...,,
,,,,,Ugh. Thinking about them makes me mad.,,
,,,,,,,
,,II-3,,,,,
,,,,,,I was wondering...,
,,,,,,How's your relationship with other succubi now?,
,,,,,What's with that question...,,
,,,,,Of course they respect me!,,
,,,,,They should respect me...,,
,,,,,,Hm? You sound uncertain.,
,,,,,Tsk. Quit being so nosy.,,
,,,,,I was the right hand of the Demon Queen! How dare they not respect me!,,
,,,2-3-A,III-3,You were.,,
,,,,,,"It's different now, isn't it?",
,,,,,...,,
,,,,,,Why do you want to be looked up to by the others so badly?,
,,,,,It's-!,,
,,,,,,You working hard is already great.,
,,,,,,"But... how about doing it for yourself, not for the others?",
,,,,,All my life... Everything I knew was about serving the ruler of the realm.,,
,,,,,So don't go around spouting nonsense...,,
,,,,,,(Did my words get to her?),
,,,,,,,
,,,2-3-B,III-1,About other succubi.,,
,,,,,,"What do you think about the others, then?",
,,,,,Everyong is so ignorant.,,
,,,,,"Even the new ruler, he... trust a different kind...",,
,,,,,Even though we were the ones who stood by Her Highness all her life.,,
,,,,,,Why did he do that?,
,,,,,"Hmph, he think that it's all about power!",,
,,,,,"That kind is still immature. They know nothing about the realm, unlike us.",,
,,,,,,That certainly sounds worrisome.,
,,II-4,,,,,
,,,,,"Tskk, this is tressing me out.",,
,,,,,,What is?,
,,,,,I've been staying too long in this realm.,,
,,,,,And living with other succubi drives me mad!,,
,,,,,,Oh? What is it like in your realm?,
,,,,,"You mean, how do I live in my realm?",,
,,,2-4-A,III-1,Living with the others.,,
,,,,,,"I mean, how do you live with the others?",
,,,,,Hmph. Our kind don't need the others.,,
,,,,,Why should we get close with them?,,
,,,,,,I thought that all succubi live harmoniously together...,
,,,,,"Pfft, don't make me laugh!",,
,,,,,My kind only need each other.,,
,,,,,"And we'll show the others what we're capable of becoming, once more.",,
,,,,,,,
,,,,,,,
,,,2-4-B,III-4,How she lived.,,
,,,,,,How's your life there?,
,,,,,I work very hard.,,
,,,,,Living my life as a succubus for thousands of years.,,
,,,,,Overseeing each and every side of the realm...,,
,,,,,I still do it even though she's no longer here.,,
,,,,,,Who is she?,
,,,,,"The demon queen, of course. Ruler of the succubus realm.",,
,,,,,,"So, you don't have a ruler anymore?",
,,,,,...It's... the Master...,,
,,,,,"Ugghh, I don't want to talk about it.",,
,,III-1,,,,,
,,,,,Those succubi really get on my nerves...,,
,,,,,,Do you have a problem with someone?,
,,,,,The Enyo kind...,,
,,,,,I can't believe Master Asmodeus chose them over us.,,
,,,,,,(Oh... The new ruler of their realm?),
,,,,,"Grrr... It can't be helped, since he just took Queen Agrath's throne out of nowhere.",,
,,,,,He doesn't know who's best suited to be the ruler's right hand.,,
,,,,,But I'll make him understand!,,
,,,3-1-A,III-2,Rivalry with Enyo,,
,,,,,,Perhaps you're overlooking things about them?,
,,,,,Of course not!,,
,,,,,They are only good with their fists.,,
,,,,,They don't know how to use their brains.,,
,,,,,,Is that so...,
,,,,,What? Do you want to complain?,,
,,,,,,N- no.,
,,,,,,,
,,,,,,,
,,,3-1-B,III-3,I like your determination.,,
,,,,,,As I thought... I really like your determination.,
,,,,,,It kinda reminds me of my wife.,
,,,,,,"She was a hard worker, and...",
,,,,,...,,
,,,,,,"O- oh, sorry.",
,,,,,,"I mean, your determination deserves to be recognized.",
,,,,,"Of course, only a fool can't see my best qualities.",,
,,III-2,,,,,
,,,,,,Are you still upset about Enyo?,
,,,,,I'm not.,,
,,,,,,But you don't look like you're fine.,
,,,,,Grrr... Noisy as always.,,
,,,,,It's not that I hould a grudge against them.,,
,,,,,,You just can't accept the fact that Asmodeus didn't choose you?,
,,,,,Shut your filthy mouth!,,
,,,3-2-A,EA,Be happy for yourself.,,
,,,,,,"Sorry, I just blurted it out...",
,,,,,,But it's a relief to hear that you don't actually hold a grudge.,
,,,,,,You're strong and your effort is truly remarkable.,
,,,,,"W- what, you're trying to sweet-talk me?",,
,,,,,,O- of course not...,
,,,,,,"Look, it would be a waste if you're only doing it for validation from others.",
,,,,,,You'll be much happier if you're doing it for yourself.,
,,,,,... Cheeky human.,,
,,,,,,,
,,,,,,,
,,,3-2-B,EB,I'd choose you.,,
,,,,,,"S- sorry, What I'm trying to say is...",
,,,,,,It's a shame that Asmodeus didn't see that quality in you.,
,,,,,,"If I were him, I'd definitely choose you.",
,,,,,"I know, right.",,
,,,,,,"No, really. You're strong, diligent, a true hard worker.",
,,,,,,(Just like my Luna),
,,,,,Mmhm. It seems you're not as stupid as I thought.,,
,,III-3,,,,,
,,,,,What is it? Speak.,,
,,,,,,I'm wondering... Why did the Demon Queen choose you to be her right hand?,
,,,,,What's that supposed to mean?,,
,,,,,,"I- I mean, it's kinda odd that the new ruler just overlooked you.",
,,,,,"Tch, why didn't you say that from the beginning?",,
,,,,,Our kind were the very first succubi in existence.,,
,,,,,"We know everything about the Demon Realm, and about being a succbus.",,
,,,,,It was only natural that Her Highness trusted us to handle her nusiness.,,
,,,3-3-A,EA,Be like Agrath.,,
,,,,,,To be the queen of succubi... she must be really amazing.,
,,,,,She was smart and powerful. No one dared to defy her.,,
,,,,,,"I can see how you took pride in your position, however...",
,,,,,"Just say it, don't make me lose patience.",,
,,,,,,You're already great as you are.,
,,,,,,"But why don't you just be your own person, just like Agrath?",
,,,,,,You can find your own purpose. Don't mind about what others think.,
,,,,,,Wouldn't you be more content that way?,
,,,,,...!,,
,,,,,,,
,,,,,,,
,,,3-3-B,EB,That makes sense.,,
,,,,,,"And you have served her for a really long time, no?",
,,,,,That's correct.,,
,,,,,,Your dedication is really something...,
,,,,,,I like a woman like you.,
,,,,,You have a good eye.,,
,,,,,"In fact, why don't you be my devoted follower?",,
,,,,,,F- follower...?,
,,,,,"That way, you’ll be able to serve me for the rest of your life.",,
,,,,,"That's what you want, isn't it?",,
,,III-4,,,,,
,,,,,...You again.,,
,,,,,,I- I didn't mean to interrupt...,
,,,,,"You're just like him, appearing out of nowhere.",,
,,,,,,Him?,
,,,,,Master Asmodeus...,,
,,,,,,Master- I remember we were talking about that before.,
,,,,,Proving ourselves to him... How Long has it been...,,
,,,,,"But I won't give up, for the sake of my kind.",,
,,,3-4-A,EB,You remind me of her.,,
,,,,,,"You know, you kind of remind me of her...",
,,,,,You dare compare me with a human?!,,
,,,,,,T- that’s not...,
,,,,,,"What I'm trying to say is that, your determination is really admirable.",
,,,,,Hmph.,,
,,,,,What? Don't say anything cheesy like you’ve fallen in love with me now!,,
,,,,,,...Huh? Of course not... I still love my wife...,
,,,,,Dead wife.,,
,,,,,,...,
,,,,,,,
,,,3-4-B,III-1,What are you trying to prove?,,
,,,,,,"It sounds exhausting, though...",
,,,,,,"What are you trying to prove to him, exactly?",
,,,,,That I'm better than that Kind...,,
,,,,,,That kind...?,
,,,,,Just thinking about them makes me sick.,,
,,,,,,"Oh. okay, I won’t force you to talk about that...",
,,,,,Wise decision.,,
,,,,,"Why don't we talk about how great I am, instead?",,
,,,,,,(Un-oh.),
,,,,,,,
,,EA,,,Throwing away her pride was a liberating decision ofr Berith.,,
,,,,,She feels content now that she's able to break through her fear of prejudice.,,
,,,,,Her heart softens for the man who has helped her find her purpose.,,
,,,,,"It is Jake, happy with his new life with Berith.",,
,,EB,,,Jake sees the hardworking Luna in Berith.,,
,,,,,"Consumed by his own thoughts, he decides that Berith is the perfect substitute for Luna.",,
,,,,,"However, she is not exactly the woman Jake pictured her to be.",,
,,,,,For she wants nothing more than to take control of his life.,,
,,,,,,,
2,Kalys,,,,Kalys,,
,,I-1,,,,,
,,,,,...,,
,,,,,,Are you okay?,
,,,,,"O- oh, erm....Yes....",,
,,,,,,You look kind of glum...,
,,,,,It’s just my face... Sorry....,,
,,,1-1-A,I-2,Nothing wrong with your face.,,
,,,,,,There's nothing wrong with your face.,
,,,,,D-d-don't stare at me too much...,,
,,,,,,"Ah, sorry.",
,,,,,,"(Maybe she feels uneasy, suddenly summoned to an unfamiliar place.)",
,,,,,,"Umm, do you want to take a look around the house?",
,,,,,Don’t’... Don’t Worry...,,fontSize=Small1
,,,,,,Huh? Are you saying something?,
,,,,,,(Her voice is so low.),
,,,,,Don't worry... about me... I'm good...,,
,,,,,,"Well, if you say so...",
,,,,,,"Just make yourself at home, okay?",
,,,,,,,
,,,1-1-B,II-3,Tell me if you need something.,,
,,,,,,"Um, if you need anything, please don't hesitate to ask, ok?",
,,,,,...,,
,,,,,,There's no need to be scared.,
,,,,,I- I mustn’t... speak...,,fontSize=Small1
,,,,,,What was that? I can't hear you...,
,,,,,I mustn't speak... Or else he will...,,fontSize=Small1
,,,,,,He?,
,,,,,...,,
,,,,,,(Uh-oh.),
,,,,,,"I’ll... I’ll leave you alone for now, then.",
,,I-2,,,,,
,,,,,... I-Is something wrong?,,
,,,,,,"Oh, no, it's-",
,,,,,,The thing around your neck... is it an accessory?,
,,,,,Access... ory... ?,,
,,,,,,"Your necklace, I mean.",
,,,,,This is...,,
,,,,,Not an accessory...,,
,,,1-2-A,II-4,Do you like it?,,
,,,,,,"So, you like wearing it?",
,,,,,It's... It's not like that...,,
,,,,,This is... They gave it to us...,,fontSize=Small1
,,,,,,I- I can't hear you. Your voice is very low.,
,,,,,It's for protection...,,
,,,,,,Like a protective charm?,
,,,,,Kind of...,,
,,,,,,,
,,,1-2-B,II-1,Why do you wear it?,,
,,,,,,It looks heavy... Why do you wear it?,
,,,,,It’s... a part of me... a part of our kind.,,
,,,,,,Everyone wears that?,
,,,,,Yes... Just like we should...,,
,,,,,,Did someone give you that?,
,,,,,...,,
,,,,,,Okay. You don't have to talk if you don't want to.,
,,,,,Understood...,,
,,I-3,,,,,
,,,,,,"Oh, Kalys, you are here.",
,,,,,Is there... something wrong?,,fontSize=Small1
,,,,,,I- I can't quite hear you.,
,,,,,Something... something wrong...?,,fontSize=Small1
,,,,,,...Excuse me.,
,,,,,!!,,
,,,,,,"Ah, sorry!",
,,,,,,I figured I should get closer so I can hear you...,
,,,,,It’s... okay...,,
,,,1-3-A,II-3,Something bothering you?,,
,,,,,,Is something bothering you?,
,,,,,N- nothing... It's just...,,
,,,,,The Master won't like it... if I talk too much...,,
,,,,,,The Master?,
,,,,,"O- oh, I mustn't speak about him...!",,
,,,,,Please... Please forget about it.,,
,,,,,I know... it’s not my place to make a request....,,
,,,,,,"Let's calm down first, okay?",
,,,,,,I won't force you to talk if you don't want to.,
,,,,,...,,
,,,1-3-B,I-2,Why are you whispering?,,
,,,,,,Do you always speak so quietly?,
,,,,,I’m- I’m just not used to... someone talking to me...,,
,,,,,Sorry... if I can't respond well...,,
,,,,,,"Oh, don't worry about it.",
,,,,,,I was being insensitive.,
,,,,,"N- no, it's my fault.",,
,,,,,They... They told me to Speak... only if I'm asked.,,
,,,,,You were asking something... yet I can't respond well.,,
,,,,,I’m sorry.,,
,,II-1,,,,,
,,,,,"Can I help you, m- master?",,
,,,,,,Did you just call me-?,
,,,,,"Ah, I apologize... Do you not like it...?",,
,,,,,W- what should I c- call you then...,,
,,,,,,"Just ""Jake"" is fine.",
,,,,,B- but you’re my master here...,,
,,,,,,It feels weird being called like that.,
,,,,,,Like... uhh... like we're in some kind of a weird play.,
,,,,,Huh? I... I don't understand.,,
,,,2-1-A,II-2,What is your role in the Demon Realm?,,
,,,,,,"Umm, I don't know if it's okay to ask you this, but...",
,,,,,,What do you do in the Demon Realm?,
,,,,,I... I'm...,,
,,,,,I'm just someone who follows the orders of the Master...,,
,,,,,That's what my kind is supposed to do.,,
,,,,,,"...Well, you’re really different from the other succubi I’ve seen.",
,,,,,,How to put it... You're exceptionally obedient.,
,,,,,Is that... a good thing? Or a bad thing...?,,
,,,,,I don't understand...,,
,,,,,,,
,,,,,,,
,,,2-1-B,II-3,Your master in the Demon Realm?,,
,,,,,,Did the Master in the Demon Realm tell you to call him that?,
,,,,,No... Everyone addresses him like that...,,
,,,,,And they... they told me I should do the same.,,
,,,,,I’m just following what's best for me...,,
,,,,,,What's best for you?,
,,,,,Uhh... um... I mean... If I do what I'm told...,,
,,,,,Then they'll let me live...?,,
,,,,,,?!,
,,II-2,,,,,
,,,,,Can I be of any more use to you...?,,
,,,,,,Huh? Why so sudden?,
,,,,,,You've done so much for me already.,
,,,,,,"... If anything, I'm the one who's being selfish here.",
,,,,,W- what... do you mean?,,
,,,,,,I'm sorry... I'm doing all of this for my own goal...,
,,,,,,I even use you succubi...,
,,,,,,I'm the worst.,
,,,,,... At least... at least you still have a goal...,,
,,,2-2-A,III-1,What about you?,,
,,,,,,"Well, what about you?",
,,,,,,Do you have anything you want to achieve?,
,,,,,...,,
,,,,,I’m- I’m content with what I have...,,
,,,,,I'm just glad that I'm safe...,,
,,,,,That they protected me...,,
,,,,,,Who are they?,
,,,,,Ah...,,
,,,,,,I just realized you speak about them a lot.,
,,,,,,...If you don't mind me asking?,
,,,,,M- maybe... next time...,,
,,,,,,,
,,,,,,,
,,,2-2-B,III-3,You should have one as well.,,
,,,,,,"Ah, you must have a goal too, right?",
,,,,,,The other succubi seem like they have their own ambitions.,
,,,,,I... don't have the audacity to even think about doing that...,,
,,,,,,"What's stopping you, though?",
,,,,,I... I can’t... I have to follow orders...,,
,,,,,I don't dare to... even think about having my own goals...,,
,,,,,,"I'm sorry for saying this, but...",
,,,,,,I think it would be splendid if you could find your own goals to work towards.,
,,,,,Uuu...,,
,,,,,,I- it doesn't have to be right now!,
,,,,,,Maybe we can find it together while you're here.,
,,II-3,,,,,
,,,,,,As I thought... You really are different from the other succubi.,
,,,,,...?,,
,,,,,,You’re really quiet.,
,,,,,I just... I just don't have anything to say...,,
,,,,,Even if I did...,,
,,,,,M- my thoughts would be of no importance...,,
,,,,,,Why do you think so?,
,,,,,I- I was told...,,
,,,,,It's so the Master... won't harm me...,,
,,,2-3-A,III-3,Has he ever harmed you?,,
,,,,,,"Has the Master ever harmed you, though?",
,,,,,!,,
,,,,,N- no...,,
,,,,,I... We... We don't interact much either...,,
, ,,,,,"Then... you actually have nothing to be afraid of, right?",
,,,,,,Do you think they would mind... if you stay here?,
,,,,,...I'm not sure.,,
,,,,,,It... it's just a thought. Don't take it too seriously.,
,,,,,Huh? Okay...,,
,,,,,,,
,,,,,,,
,,,2-3-B,III-1,Are other succubi also afraid of the Master?,,
,,,,,,Are other succubi also afraid of the Master?,
,,,,,I- I think so...,,
,,,,,"I’m... I’m not sure, but...",,
,,,,,,But?,
,,,,,Uhh... S- sorry...,,
,,,,,I... actually don't know...,,
,,II-4,,,,,
,,,,,Ugh... It's stuck...,,
,,,,,,What happened?,
,,,,,It's... the chain... I- I think it got Stuck...,,
,,,,,,Let me help you.,
,,,,,O- oh... You don't have to...,,
,,,,,,There you go.,
,,,,,,......,
,,,,,A- are you... done?,,
,,,,,,"Y- yes, umm, why are you still wearing it?",
,,,,,,"Does it not hinder you? The shackles, I mean...",
,,,,,I- I feel... safe.,,
,,,,,I feel safe... when I wear them.,,
,,,2-4-A,II-5,Unique charm.,,
,,,,,,That's... how should I say it...,
,,,,,,Unique?,
,,,,,W- why is that?,,
,,,,,,"Normally, shackles are used to... you know...",
,,,,,,To restrain people?,
,,,,,,Yet how do you feel safe while being restrained?,
,,,,,It's... not a restrain.,,
,,,,,The Bastet kind... have been protecting us...,,
,,,,,We can’t... we can’t live without them...,,
,,,,,A- and so... they gave these shackles to us...,,
,,,,,,,
,,,2-4-B,III-3,Feel safe?,,
,,,,,,You feel safe wearing it?,
,,,,,Y- yes. After all... they gave it to us...,,
,,,,,,"Who are they, if I may ask?",
,,,,,The Bastet kind...,,
,,,,,They have been telling us... how to survive.,,
,,,,,If it's not because of them... t-the Master... he...,,
,,,,,He might annihilate us...,,
,,,,,,That's really heavy.,
,,,,,,"...Don’t you get tired, living in constant fear like that?",
,,,,,I...,,
,,II-5,,,,,
,,,,,...,,
,,,,,,Hello?,
,,,,,Oh... Ah! H- hello...,,
,,,,,,What's the matter? You look sort of worn out.,
,,,,,,Do you want to rest today?,
,,,,,P- please... don't worry about me...,,
,,,,,You're... my master here...,,
,,,,,"So, use me... a- all you want.",,
,,,,,,... Please don't say that.,
,,,,,I- I don't know what I'm supposed to do either...,,
,,,,,If I’m not told...,,
,,,2-5-A,III-2,By a Bastet succubus?,,
,,,,,,If a Bastet doesn't tell you what to do?,
,,,,,...,,
,,,,,"... Yes, they... They p-protect us...",,
,,,,,It has been... like that... s- since the beginning.,,
,,,,,,Have you just been following them since birth?,
,,,,,Mmhm... or else w- we... don't know what to do.,,
,,,,,,Don't you have something that you want to do for yourself?,
,,,,,!,,
,,,,,I- I wouldn't... dare.,,
,,,2-5-B,II-3,By the Master?,,
,,,,,,If you're not told by the Master?,
,,,,,I- if it's about the Master...,,
,,,,,I simply... don't want to b-bother him...,,
,,,,,,I don't think he'd be bothered.,
,,,,,,"I mean, you’re actually really helpful.",
,,,,,I’m... weak... and ug... ly.,,
,,,,,M- my presence... is a disgrace to him...,,
,,,,,,......,
,,III-1,,,,,
,,,,,J- jake...?,,
,,,,,,Yes?,
,,,,,S- sorry about this but... do you have...,,
,,,,,A s- sewing... tool...,,fontSize=Small1
,,,,,"Uhh, sorry, just f- forget about it...",,
,,,,,,You need a sewing tool?,
,,,,,,I think Luna had one. I'll look for it.,
,,,,,,I didn't know that you liked to sew.,
,,,,,N- no... It’s for... the other succubi...,,
,,,,,They... told me to fix their dresses.,,
,,,,,,...,
,,,,,,Are they bullying you?,
,,,,,I... no... I'm just... doing my duty... to serve the others...,,
,,,3-1-A,III-2,Serving the others?,,
,,,,,,Oh? I thought that succubi only have to obey the Master?,
,,,,,T- that's correct...,,
,,,,,,Then why...,
,,,,,... It's just... just natural for our kind.,,
,,,,,It's... what they told me...,,
,,,,,,Who are they? All succubi?,
,,,,,It- it's... the Bastet kind.,,
,,,,,They are like... our... guardians...?,,
,,,,,,Does it mean that they take care of your kind?,
,,,,,Kind of...,,
,,,,,,(Why does she sound unsure?),
,,,3-1-B,EB,Let me do it for you.,,
,,,,,,"You know what, let me do it for you.",
,,,,,,You can take it easy.,
,,,,,Eh... b- but...,,
,,,,,,I want to help you.,
,,,,,Uhh... uhmmm... You don’t have to...,,
,,,,,,I's okay.,
,,,,,W- what do you say...,,
,,,,,To... to express g- gratitude...,,
,,,,,,... Thank you?,
,,,,,"Oh... th-thank you, Jake.",,
,,,,,,You're welcome.,
,,III-2,,,,,
,,,,,"What should I do n- next, Jake...?",,
,,,,,,"Umm, sorry, I haven't decided yet.",
,,,,,,Sigh...,
,,,,,Y- you... you look exhausted...,,
,,,,,,Sorry... All this work really gets to me.,
,,,,,I heard... a little about your... w- wife.,,
,,,,,"Was... was she, like, your guardian...?",,
,,,3-2-A,EA,It's not like that.,,
,,,,,,I think it’s kinda different...,
,,,,,,"But, thank you.",
,,,,,D- different...?,,
,,,,,,We took care of each other...,
,,,,,,Because we wanted to make each other happy.,
,,,,,M- make... someone happy...,,
,,,,,Uhhmmm...,,
,,,,,,What's wrong?,
,,,,,I... I feel something... b- but I'm not sure... what this f- feeling is.,,
,,,3-2-B,EB,Don’t mind it.,,
,,,,,,"Oh! Sorry, I made the mood rather gloomy.",
,,,,,N- not particularly...,,
,,,,,I... If someday all Bastet disappeared...,,
,,,,,I would... I would be as lost as you... I- I suppose...,,
,,,,,,If that day ever comes... you can count on me.,
,,,,,?,,
,,,,,,Ahaha... What am I even talking about?,
,,,,,,Please don't mind me.,
,,,,,...,,
,,III-3,,,,,
,,,,,...,,
,,,,,,Hmm? You seem to be in a good mood.,
,,,,,"O- oh, it's nothing... s- sorry...",,
,,,,,,There's nothing to be sorry for.,
,,,,,,Something good happened?,
,,,,,N- no... it's... it's not that important...,,
,,,,,I just... learned something from Madam M.,,
,,,,,,Oh? What is it?,
,,,,,B- baking... cookies...,,
,,,,,,Do you want to learn more about it?,
,,,,,I- I can...?,,
,,,3-3-A,EB,I can arrange that.,,
,,,,,,"If you want to, I can find you a place to learn.",
,,,,,W- will it be okay?,,
,,,,,,Don't worry about it too much.,
,,,,,,I just want to support you.,
,,,,,Oh... Umm... Th- then...,,
,,,,,,"It's okay, just trust me.",
,,,,,If you say so.,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,3-3-B,EA,It’s up to you.,,
,,,,,,Of course you can.,
,,,,,,It's only a matter of whether you want to or not.,
,,,,,I... I get to... choose...?,,
,,,,,,Mmhm.,
,,,,,Then... then I want to!,,
,,,,,,Good.,
,,,,,What's... good?,,
,,,,,,You finally have something that you want to do for yourself.,
,,,,,...!,,
,,,,,,,
,,EA,,,"Kalys finally gets to choose her own path, and so she chooses Jake.",,
,,,,,"She is now a free human, no longer controlled by other people.",,
,,,,,"Starting fresh, both Jake and Kalys promise to take care of each other.",,
,,EB,,,"Seeing how Jake is able to protect her, she follows the man's lead.",,
,,,,,"Jake has to take care of her, as she is too scared to do anything on her own.",,
,,,,,Now kalys lives in comfort under Jake's protection.,,
,,,,,"... So, who is being controlled now?",,
3,Taura,I-1,,,Taura,,
,,,,,You're the one who summoned me?,,
,,,,,This won't do.,,
,,,,,,Won’t do what...?,
,,,,,I need a sparring partner.,,
,,,,,And you look so...frail.,,
,,,,,You’d likely get killed by one blow.,,
,,,,,,K- killed?!,
,,,,,"SILENCE, HUMAN!",,
,,,,,I have no interest in weaklings like you.,,
,,,,,Easy fights don't excite me.,,
,,,1-1-A,II-5,Your scars.,,
,,,,,,That explains your Scars...,
,,,,,"Oh, you recognize my battle scars?!",,
,,,,,You have a good eye. I'm surprised.,,
,,,,,,Where did you get those from?,
,,,,,"By defeating others, how else?",,
,,,,,These are proof that I am the greatest warrior!,,
,,,,,,Others... your own kind?,
,,,,,Only the strong survive!,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
